candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
c_objw05,8,8,1.0,0.007,0.007,0.0,0.012518363465324533,0.0,0.0,1.0,0.0,8,8,0.007
c_objw075,8,8,1.0,0.007,0.007,0.0,0.012518363465324533,0.0,0.0,1.0,0.0,8,8,0.007
sc3e_incumbent_newseed,8,8,1.0,0.007,0.007,0.0,0.01252551775539068,0.0,0.0,1.0,0.0,8,8,0.007
