variant,envelope,scenario,rows,pass_non_path,pass_case_floor,min_case_path,mean_path,min_case_slack,mean_case_slack,mean_test_relative,mean_turnover,mean_executed_step_rate
v25r_n8,random_holdout,random_holdout_b11_p13416,8,True,True,-0.006392767711683971,-0.005696338863487145,0.0006072322883160291,0.001303661136512855,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_holdout,random_holdout_b11_p6384,8,True,True,-0.006219084624133003,-0.005613022124213388,0.0007809153758669973,0.0013869778757866118,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_holdout,random_holdout_b12_p8284,8,True,False,-0.00704798927237073,-0.005979572804122886,-4.7989272370730154e-05,0.001020427195877114,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_holdout,random_holdout_b13_p12612,8,True,True,-0.005991492276990256,-0.005540527913359369,0.0010085077230097437,0.0014594720866406312,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_holdout,random_holdout_b17_p7370,8,True,True,-0.00571157660946841,-0.005220689599908995,0.00128842339053159,0.0017793104000910056,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_holdout,random_holdout_b18_p11802,8,True,True,-0.005455177407330308,-0.004842039819985272,0.0015448225926696924,0.0021579601800147284,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b13_p8083,8,True,True,-0.005806968400120288,-0.005315859695451188,0.0011930315998797125,0.0016841403045488122,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b14_p8696,8,True,True,-0.005979103481492698,-0.005291263735596789,0.0010208965185073025,0.001708736264403211,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b14_p9908,8,True,True,-0.006032308775023249,-0.00557140755453676,0.0009676912249767513,0.0014285924454632403,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b15_p7333,8,True,True,-0.005928004181264773,-0.005474297265625395,0.0010719958187352273,0.0015257027343746048,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b16_p9575,8,True,True,-0.006035838610458766,-0.005249833992146473,0.0009641613895412342,0.001750166007853527,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,random_train,random_train_b17_p10727,8,True,True,-0.006718116315313721,-0.005608579438462703,0.00028188368468627916,0.0013914205615372975,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,sentinel,altblock_b24_s4242,8,True,True,-0.004331708687348245,-0.00375460133770169,0.002668291312651755,0.00324539866229831,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,sentinel,baseline_b20_s4242,8,True,True,-0.006068006478306237,-0.004890751247030595,0.0009319935216937627,0.002109248752969405,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_n8,sentinel,stress_b30_s10010,8,True,True,-0.003951508743364495,-0.003299191375796654,0.003048491256635505,0.003700808624203346,0.005290088399023696,0.0006714764520370678,0.024086021505376344
v25r_nA,random_holdout,random_holdout_b11_p13416,8,True,True,-0.006392763827428154,-0.005696336061037508,0.0006072361725718463,0.001303663938962492,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_holdout,random_holdout_b11_p6384,8,True,True,-0.006219083440177409,-0.00561302128327971,0.0007809165598225915,0.0013869787167202904,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_holdout,random_holdout_b12_p8284,8,True,False,-0.00704798387398779,-0.005979569093912967,-4.798387398778983e-05,0.0010204309060870328,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_holdout,random_holdout_b13_p12612,8,True,True,-0.005991487297482462,-0.005540525349348251,0.0010085127025175385,0.0014594746506517492,0.005290087542365462,0.0006714762540477564,0.024086021505376344
v25r_nA,random_holdout,random_holdout_b17_p7370,8,True,True,-0.0057115756798793655,-0.005220687077097637,0.0012884243201206347,0.001779312922902363,0.005290087542365462,0.0006714762540477564,0.024086021505376344
