case,n,mean_rel,beat,mean_turn,active,val_rel,robust_min,robust_std,overfit_fail,regime_fail
C_val20,30,-0.0016277666666666666,0.2,0.0029082333333333337,0.7666666666666667,0.0021964999999999997,-0.0009379333333333333,0.0014821,0.7666666666666667,177.53333333333333
D_stab,30,-0.0006902,0.0,0.0013111333333333333,0.36666666666666664,-0.0004611,-0.002355733333333333,0.0020567333333333334,0.5,236.6
A_locked,30,-0.0003363,0.26666666666666666,0.0035355,0.5666666666666667,0.0028129333333333337,-0.0014972,0.0025264,0.8,199.36666666666667
B_f5,50,-0.00018803999999999994,0.2,0.0025911000000000003,0.46,0.0014340999999999998,-0.0015257,0.0020086,0.5,241.12
E_guard,30,-0.00015713333333333332,0.13333333333333333,0.0016243,0.3333333333333333,-0.0009203333333333332,-0.0034904,0.002804333333333333,1.5666666666666667,236.5
