candidate,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,gate_passed,mean_test_relative,mean_validation_relative,mean_turnover,mean_test_executed_step_count,mean_test_gate_suppression_rate,error
sc3d_m20_p1990_s2941,baseline_b20_s4242,29,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,baseline_b20_s4242,29,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,baseline_b20_s4242,41,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,baseline_b20_s4242,29,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,baseline_b20_s4242,41,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,29,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,29,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,baseline_b20_s4242,41,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,29,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,41,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,41,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altblock_b16_s4242,41,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altseed_b20_s5252,29,35,30,0.0,0.007,False,False,0.0,0.01063794855164113,0.0,0.0,1.0,
sc3d_m20_p1990_s2941,altseed_b20_s5252,29,22,30,0.0,0.007,False,False,0.0,0.010760975965854125,0.0,0.0,1.0,
sc3d_m20_p1990_s2941,altseed_b20_s5252,29,30,30,0.0,0.007,False,False,0.0,0.010685266787877623,0.0,0.0,1.0,
sc3d_m20_p1990_s2941,altseed_b20_s5252,41,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,29,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altseed_b20_s5252,41,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,altseed_b20_s5252,41,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,29,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,41,22,30,0.0,0.007,False,True,0.008232481705894079,0.011359996974308118,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,41,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,29,35,30,0.0,0.007,False,True,0.008176870201444641,0.011232442450733515,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p1990_s2941,deepcheck_b12_s8080,41,30,30,0.0,0.007,False,True,0.008198259241617434,0.011281501882877909,5.02179227478789e-05,0.5,0.9989224137931034,
sc3d_m20_p2000_s2941,baseline_b20_s4242,41,22,30,0.004779769649378252,0.011779769649378252,False,True,0.017727467620668902,0.011417766675167695,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,baseline_b20_s4242,29,35,30,0.006543576402699447,0.013543576402699448,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,baseline_b20_s4242,29,22,30,0.006625971974342226,0.013625971974342226,False,True,0.017727467620668902,0.011417766675167695,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,baseline_b20_s4242,29,30,30,0.006584477538625688,0.013584477538625689,False,True,0.01765628577708611,0.011338865671736809,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,29,30,30,0.004873729863590015,0.011873729863590015,False,True,0.01765628577708611,0.011338865671736809,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,baseline_b20_s4242,41,30,30,0.00474913250867266,0.01174913250867266,False,True,0.01765628577708611,0.011338865671736809,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,baseline_b20_s4242,41,35,30,0.0047299842957321155,0.011729984295732115,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,29,22,30,0.004886380094071452,0.011886380094071452,False,True,0.017727467620668902,0.011417766675167695,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,41,30,30,0.008132430551313397,0.015132430551313397,False,True,0.01765628577708611,0.011338865671736809,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,29,35,30,0.004816327749305971,0.011816327749305971,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,41,35,30,0.008066456889330997,0.015066456889330997,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altblock_b16_s4242,41,22,30,0.008237992254786507,0.015237992254786507,False,True,0.017727467620668902,0.011417766675167695,0.00010032556507044447,1.0,0.9978448275862069,
sc3d_m20_p2000_s2941,altseed_b20_s5252,29,30,30,0.0,0.007,False,True,0.009416570975098182,0.010741106882238283,4.985529095197311e-05,0.5,0.9989224137931034,
sc3d_m20_p2000_s2941,altseed_b20_s5252,41,22,30,0.004264632602120522,0.011264632602120522,False,True,0.017727467620668902,0.011417766675167695,0.00010032556507044447,1.0,0.9978448275862069,
