split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,optimizer_total_return,policy_relative_total_return,static_hold_relative_total_return,optimizer_relative_total_return,policy_cash_weight,static_hold_cash_weight,optimizer_cash_weight,policy_trend_weight,static_hold_trend_weight,policy_turnover,static_hold_turnover,optimizer_turnover,policy_rebalance_count,static_hold_rebalance_count,policy_late_def_rate,delta_total_return_vs_static_hold,delta_total_return_vs_optimizer,delta_relative_total_return_vs_static_hold,delta_relative_total_return_vs_optimizer,delta_cash_weight_vs_static_hold,delta_cash_weight_vs_optimizer,delta_trend_weight_vs_static_hold,delta_turnover_vs_static_hold,delta_turnover_vs_optimizer,delta_rebalance_count_vs_static_hold
chrono,27,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.25815,0.344293,0.007149,-0.06408,0.0,-0.250796,0.12966,0.0,0.993548,0.87034,1.0,0.028292,0.0,0.004301,227.0,1.0,0.0,-0.086142,0.251001,-0.06408,0.186716,0.12966,-0.863888,-0.12966,0.028292,0.023991,226.0
chrono,27,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.385948,0.42204,0.0,-0.025381,0.0,-0.296785,0.131338,0.0,1.0,0.868662,1.0,0.023913,0.0,0.0,323.0,1.0,0.0,-0.036092,0.385948,-0.025381,0.271405,0.131338,-0.868662,-0.131338,0.023913,0.023913,322.0
chrono,27,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.277377,0.362189,-0.018816,-0.062262,0.0,-0.279701,0.152281,0.0,0.997849,0.847719,1.0,0.021578,0.0,0.004301,163.0,1.0,0.0,-0.084813,0.296193,-0.062262,0.217439,0.152281,-0.845568,-0.152281,0.021578,0.017277,162.0
chrono,27,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.212778,0.23565,0.007149,-0.01851,0.0,-0.184924,0.153594,0.0,0.995702,0.846406,1.0,0.028708,0.0,0.002865,326.0,1.0,0.0,-0.022872,0.205629,-0.01851,0.166414,0.153594,-0.842108,-0.153594,0.028708,0.025843,325.0
regime,7,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.028235,0.052584,0.0,-0.023133,0.0,-0.049957,0.165629,0.0,1.0,0.834371,1.0,0.024772,0.0,0.0,149.0,1.0,0.0,-0.024349,0.028235,-0.023133,0.026825,0.165629,-0.834371,-0.165629,0.024772,0.024772,148.0
regime,7,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.654344,0.796711,0.0,-0.079237,0.0,-0.443427,0.137718,0.0,1.0,0.862282,1.0,0.020815,0.0,0.0,340.0,1.0,0.0,-0.142367,0.654344,-0.079237,0.36419,0.137718,-0.862282,-0.137718,0.020815,0.020815,339.0
regime,7,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.339168,0.404754,0.007149,-0.046688,0.0,-0.283043,0.113073,0.0,0.990991,0.886927,1.0,0.022853,0.0,0.006006,154.0,1.0,0.0,-0.065586,0.33202,-0.046688,0.236354,0.113073,-0.877918,-0.113073,0.022853,0.016847,153.0
regime,7,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.478246,0.574403,0.0,-0.061075,0.0,-0.364839,0.132744,0.0,1.0,0.867256,1.0,0.025989,0.0,0.0,408.0,1.0,0.0,-0.096157,0.478246,-0.061075,0.303764,0.132744,-0.867256,-0.132744,0.025989,0.025989,407.0
regime,7,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.165004,0.191296,-0.018816,-0.02207,0.0,-0.176372,0.113952,0.0,0.996997,0.886048,1.0,0.010175,0.0,0.006006,87.0,1.0,0.0,-0.026292,0.18382,-0.02207,0.154303,0.113952,-0.883045,-0.113952,0.010175,0.004169,86.0
regime,7,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.366249,0.420097,0.007149,-0.037918,0.0,-0.290789,0.113054,0.0,0.996399,0.886946,1.0,0.009969,0.0,0.002401,227.0,1.0,0.0,-0.053848,0.3591,-0.037918,0.25287,0.113054,-0.883345,-0.113054,0.009969,0.007568,226.0
regime,17,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.013247,0.052584,0.0,-0.037372,0.0,-0.049957,0.10518,0.0,1.0,0.89482,1.0,0.030818,0.0,0.0,192.0,1.0,0.0,-0.039337,0.013247,-0.037372,0.012586,0.10518,-0.89482,-0.10518,0.030818,0.030818,191.0
regime,17,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.702221,0.796711,0.0,-0.052591,0.0,-0.443427,0.10249,0.0,1.0,0.89751,1.0,0.022561,0.0,0.0,389.0,1.0,0.0,-0.09449,0.702221,-0.052591,0.390837,0.10249,-0.89751,-0.10249,0.022561,0.022561,388.0
regime,17,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.351982,0.404754,0.007149,-0.037567,0.0,-0.283043,0.10535,0.0,0.990991,0.89465,1.0,0.019304,0.0,0.006006,138.0,1.0,0.0,-0.052772,0.344833,-0.037567,0.245476,0.10535,-0.885641,-0.10535,0.019304,0.013298,137.0
regime,17,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.522697,0.574403,0.0,-0.032842,0.0,-0.364839,0.096129,0.0,1.0,0.903871,1.0,0.021453,0.0,0.0,360.0,1.0,0.0,-0.051706,0.522697,-0.032842,0.331997,0.096129,-0.903871,-0.096129,0.021453,0.021453,359.0
regime,17,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.147825,0.191296,-0.018816,-0.03649,0.0,-0.176372,0.120884,0.0,0.996997,0.879116,1.0,0.027892,0.0,0.006006,183.0,1.0,0.0,-0.043471,0.166641,-0.03649,0.139882,0.120884,-0.876113,-0.120884,0.027892,0.021886,182.0
regime,17,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.35589,0.420097,0.007149,-0.045213,0.0,-0.290789,0.138142,0.0,0.996399,0.861858,1.0,0.029082,0.0,0.002401,469.0,1.0,0.0,-0.064207,0.348741,-0.045213,0.245576,0.138142,-0.858257,-0.138142,0.029082,0.026681,468.0
regime,27,fold_01,test,2022-04-25 00:00:00,2023-08-21 00:00:00,0.038064,0.052584,0.0,-0.013795,0.0,-0.049957,0.136289,0.0,1.0,0.863711,1.0,0.034787,0.0,0.0,184.0,1.0,0.0,-0.014521,0.038064,-0.013795,0.036162,0.136289,-0.863711,-0.136289,0.034787,0.034787,183.0
regime,27,fold_01,validation,2019-01-03 00:00:00,2022-04-22 00:00:00,0.694903,0.796711,0.0,-0.056664,0.0,-0.443427,0.125829,0.0,1.0,0.874171,1.0,0.022641,0.0,0.0,349.0,1.0,0.0,-0.101808,0.694903,-0.056664,0.386764,0.125829,-0.874171,-0.125829,0.022641,0.022641,348.0
regime,27,fold_02,test,2023-08-22 00:00:00,2024-12-16 00:00:00,0.338411,0.404754,0.007149,-0.047227,0.0,-0.283043,0.129862,0.0,0.990991,0.870138,1.0,0.011894,0.0,0.006006,95.0,1.0,0.0,-0.066343,0.331262,-0.047227,0.235815,0.129862,-0.861129,-0.129862,0.011894,0.005888,94.0
regime,27,fold_02,validation,2020-04-30 00:00:00,2023-08-21 00:00:00,0.494518,0.574403,0.0,-0.05074,0.0,-0.364839,0.141162,0.0,1.0,0.858838,1.0,0.023388,0.0,0.0,338.0,1.0,0.0,-0.079885,0.494518,-0.05074,0.314099,0.141162,-0.858838,-0.141162,0.023388,0.023388,337.0
regime,27,fold_03,test,2024-12-17 00:00:00,2026-04-17 00:00:00,0.139188,0.191296,-0.018816,-0.043741,0.0,-0.176372,0.119165,0.0,0.996997,0.880835,1.0,0.028718,0.0,0.006006,176.0,1.0,0.0,-0.052108,0.158004,-0.043741,0.132632,0.119165,-0.877832,-0.119165,0.028718,0.022712,175.0
regime,27,fold_03,validation,2021-08-25 00:00:00,2024-12-16 00:00:00,0.368813,0.420097,0.007149,-0.036113,0.0,-0.290789,0.123864,0.0,0.996399,0.876136,1.0,0.03106,0.0,0.002401,451.0,1.0,0.0,-0.051283,0.361665,-0.036113,0.254676,0.123864,-0.872534,-0.123864,0.03106,0.02866,450.0
