seed,test_mean,val_mean,robust_min,robust_std,turn,tactical,active,val_minus_test
77,-0.003261333333333333,0.0006893333333333334,-0.0019033333333333333,0.0023926666666666666,0.0032326666666666667,0.04932266666666666,0.6666666666666666,0.0039506666666666666
57,-0.0012233333333333332,0.0013903333333333335,-0.0016683333333333333,0.0019366666666666666,0.0049369999999999995,0.08044666666666667,0.6666666666666666,0.002613666666666667
47,-0.0007573333333333333,0.003394666666666666,0.000107,0.0012709999999999998,0.004214333333333333,0.07860333333333333,1.0,0.0041519999999999994
17,-0.0003673333333333334,0.0017963333333333336,-0.0015906666666666667,0.0017013333333333333,0.00526,0.05851866666666666,0.6666666666666666,0.002163666666666667
67,-0.0002113333333333332,0.004772666666666667,-5.9666666666666635e-05,0.0015389999999999998,0.004186666666666667,0.13459633333333335,0.6666666666666666,0.004984000000000001
97,0.0,-0.004454666666666667,-0.0048053333333333325,0.003305,0.0,0.09323366666666666,0.0,-0.004454666666666667
87,0.000275,0.003448333333333333,-0.001059,0.0023406666666666667,0.001394,0.08400099999999999,0.3333333333333333,0.003173333333333333
37,0.00038666666666666667,0.004246,-0.001312,0.0028696666666666666,0.0015486666666666667,0.03861133333333333,0.3333333333333333,0.003859333333333333
7,0.0008470000000000001,0.009881,-0.0006109999999999999,0.004405333333333333,0.007741333333333334,0.14343366666666665,1.0,0.009033999999999999
27,0.0009490000000000001,0.0029653333333333333,-0.0020696666666666667,0.0035026666666666665,0.0028403333333333336,0.101215,0.3333333333333333,0.002016333333333333
