variant,scenario,rows,breach_count,breach_rate,min_case_slack,mean_case_slack
v25s_pA,holdout_b12_p8284,12,1,0.08333333333333333,-2.90847786760199e-05,0.0010486418114391443
v25s_nA,holdout_b12_p8284,12,1,0.08333333333333333,-4.798387398778983e-05,0.0009928368602528988
v25s_n8,holdout_b12_p8284,12,1,0.08333333333333333,-4.7989272370730154e-05,0.0009928341559988809
v25s_pA,pack2603_b10_p8441,12,1,0.08333333333333333,-0.0005936441828657546,0.0006345718990144418
v25s_nA,pack2603_b10_p8441,12,1,0.08333333333333333,-0.0006053060397810291,0.0005847918413933729
v25s_n8,pack2603_b10_p8441,12,1,0.08333333333333333,-0.000605308125175558,0.0005847892341310015
v25s_pA,rand_b13_p6575,12,2,0.16666666666666666,-0.00026860155688486834,0.0009477975710672817
v25s_nA,rand_b13_p6575,12,2,0.16666666666666666,-0.00028116143195490786,0.0009155790488787555
v25s_n8,rand_b13_p6575,12,2,0.16666666666666666,-0.00028116319813575354,0.0009155756450663863
