candidate,rows,breach_count,breach_rate,min_case_slack,mean_case_slack,mean_test_relative,mean_validation_relative,mean_turnover,mean_executed_steps,mean_gate_suppression,seed_return_range,activity_violations,cost35_breach_count,cost35_min_slack
zv4_sm944_pen295,24,0,0.0,0.00677711357663322,0.007289515142447754,0.010992499091935412,0.011450271600347802,0.0001524646267821267,1.4791666666666667,0.9968121408045976,0.0005368331319453735,3,0,0.00677711357663322
zv4_sm934_pen295,24,0,0.0,0.006826918498806433,0.007412225393083499,0.010940344342453973,0.011332410751158218,0.0001503641752725877,1.4791666666666667,0.9968121408045976,0.0005367421796074363,3,0,0.006826918498806433
zv4_sm934_pen310,24,0,0.0,0.006826918498806433,0.007412225393083499,0.010940344342453973,0.011332410751158218,0.0001503641752725877,1.4791666666666667,0.9968121408045976,0.0005367421796074363,3,0,0.006826918498806433
zv4_sm923_pen255,24,0,0.0,0.007059845532487518,0.0108312109615612,0.017774556901715182,0.011422851551295151,0.00010095483554536915,1.0,0.9978448275862069,0.0,24,0,0.007059845532487518
zv4_sm923_pen270,24,0,0.0,0.007059845532487518,0.0108312109615612,0.017774556901715182,0.011422851551295151,0.00010095483554536915,1.0,0.9978448275862069,0.0,24,0,0.007059845532487518
zv4_sm923_pen285,24,0,0.0,0.007059845532487518,0.0108312109615612,0.017774556901715182,0.011422851551295151,0.00010095483554536915,1.0,0.9978448275862069,0.0,24,0,0.007059845532487518
zv4_sm923_pen310,24,0,0.0,0.007059845532487518,0.0108312109615612,0.017774556901715182,0.011422851551295151,0.00010095483554536915,1.0,0.9978448275862069,0.0,24,0,0.007059845532487518
zv4_sm923_pen330,24,0,0.0,0.007059845532487518,0.0108312109615612,0.017774556901715182,0.011422851551295151,0.00010095483554536915,1.0,0.9978448275862069,0.0,24,0,0.007059845532487518
zv4_sm914_pen270,24,0,0.0,0.007059578194269483,0.010791463481312658,0.01758805973625377,0.011303308871378611,9.990274509025076e-05,1.0,0.9978448275862069,0.0,24,0,0.007059578194269483
zv4_sm914_pen295,24,0,0.0,0.007059578194269483,0.01079146348131266,0.01758805973625377,0.011303308871378611,9.990274509025076e-05,1.0,0.9978448275862069,0.0,24,0,0.007059578194269483
zv4_sm904_pen295,24,0,0.0,0.007059292504090203,0.010750165393302327,0.017394334081339242,0.011179125858996644,9.88097172446241e-05,1.0,0.9978448275862069,0.0,24,0,0.007059292504090203
