split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,fold_status,fold_error,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_scale_state_slope,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,17,fold_01,test,438,439,627,628,753,126,ok,,0.00023006518167889567,0.12016077496172861,-0.0008302016707369964,0.12109150700389226,-0.0009307320421636511,1.0012772427480539,0.001734300411649723,-0.0002831279626879235,0.0008537043744406558,1,0.04800000000000004,0.0,0.13026586306838572,0.34758033209676265,0.011586505741447001,16,172,0.9148936170212766,0.4927594646743176,0.011842734116694365,14,18,107,0.856
chrono,17,fold_02,test,564,565,753,754,879,126,ok,,0.0012977012081027972,0.023638137820905403,0.002238782295658659,0.021351554044068077,0.0022865837768373254,1.037553124524576,0.00486940964788614,-0.001280499191883,0.0038367069585649727,1,0.25200000000000006,0.0,0.18758109021860253,0.6940293285693568,0.023917235826282465,35,150,0.7978723404255319,0.663995331091561,0.026010437054554636,29,29,96,0.768
chrono,17,fold_03,test,690,691,879,880,1005,126,ok,,0.003869834064694544,-0.074124064612481,-0.005329465935501543,-0.06916320160391776,-0.004960863008563243,1.0367171138940767,0.0034272207929376772,-0.001631777608855245,0.009858043855893617,1,0.15600000000000003,0.0,0.20275358844838692,0.6924531498142293,0.017153214481316195,36,146,0.776595744680851,0.9566584461410549,0.01966912535212133,23,27,98,0.784
chrono,17,fold_04,test,816,817,1005,1006,1131,126,ok,,0.011736463793831975,0.17585565403949976,-0.01776159966389257,0.1971183916624919,-0.021262737622992134,0.9703660435605869,0.009952856510008117,-0.006471189377991293,0.02180640462649608,1,-0.288,0.0,0.2248904521891187,0.8480418484503197,0.02862117536293844,76,108,0.574468085106383,0.8974005547448246,0.037992172126332796,51,53,72,0.576
chrono,17,fold_05,test,942,943,1131,1132,1257,126,ok,,0.00448649009489599,0.08995210762780959,-0.005667491410985215,0.09616461114650843,-0.006212503518698842,0.9632168212205793,0.010560566238291071,-0.0014701618610470923,0.010465480603567778,1,-0.3,0.0,0.24221145328507512,0.9899826213888155,0.036762956112820336,83,101,0.5372340425531915,0.3299883790472671,0.03263626873891041,59,59,66,0.528
