split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,5,fold_01,test,1628,1629,2326,2327,2791,465,0.007297693212028555,0.23466989031140217,0.005125329995817163,0.2283740678553392,0.006295822456062972,1.0129723124578143,0.0002198439571614151,-0.001081321542634739,0.002690214203885266,1,0.30333333333333334,0.027744053570374714,0.06257411275592856,0.022576347988247873,68,686,0.9842180774748924,0.05972748847297382,0.019567806787157135,11,4,460,0.9913793103448276
chrono,5,fold_02,test,2093,2094,2791,2792,3256,465,0.007835744450813475,0.28283645417635683,0.010140883015036462,0.2699579590793191,0.012878495097037757,1.0095203868416778,0.0016934339664870924,-0.0018871131543778397,0.0060729267785236685,1,0.3466666666666667,0.026501755488544054,0.055992014548832784,0.020894438948545032,31,692,0.9928263988522238,0.08417537664927806,0.024723525424826177,47,27,437,0.9418103448275862
chrono,5,fold_03,test,2558,2559,3256,3257,3721,465,0.009636795125394615,0.27884176623844525,0.004881734751773559,0.2726291283962341,0.006212637842211155,1.0123793687981044,0.000756984849419068,-0.0017391068064643855,0.004844270750026691,1,0.39,0.034563786754820025,0.07929567295066638,0.023440946883601953,55,668,0.9583931133428981,0.09008092704870153,0.022044621228117758,28,13,451,0.9719827586206896
chrono,5,fold_04,test,3023,3024,3721,3722,4186,465,0.01261230272331293,0.35087689870611305,0.004897987844546536,0.34429257003854996,0.0065843286675630885,1.0132377465648732,0.0004943794690750454,-0.0011660074138445387,0.0036151988953340153,1,0.3466666666666667,0.03741240597695269,0.09132091392565521,0.022426078439869677,44,670,0.9612625538020086,0.0908291401594813,0.022742313488316148,28,9,455,0.9806034482758621
chrono,5,fold_05,test,3488,3489,4186,4187,4651,465,0.0078841046790743,0.3668262690956181,0.003404192369267367,0.36218911530380193,0.004637153791816173,1.006070667130613,0.00018912130203826297,-0.00047502850761349524,0.0018196283358639098,1,0.17333333333333334,0.04270317017679062,0.10632043740182358,0.01849820895956298,17,692,0.9928263988522238,0.07541896025940165,0.0174533801444143,9,3,461,0.9935344827586207
