split,seed,fold,phase,train_end_idx,val_start_idx,val_end_idx,test_start_idx,test_end_idx,n_test_samples,validation_relative_total_return,policy_total_return,policy_relative_total_return,static_hold_total_return,delta_total_return_vs_static_hold,mean_spy_weight,mean_turnover,test_worst_daily_relative_return,test_max_relative_drawdown,active,signal_scale,signal_scale_state_slope,signal_bias,validation_signal_abs_p95,validation_proposed_step_p95,validation_proposed_steps_over_band,validation_gate_suppressed_step_count,validation_gate_suppression_rate,test_signal_abs_p95,test_proposed_step_p95,test_proposed_steps_over_band,test_executed_step_count,test_gate_suppressed_step_count,test_gate_suppression_rate
chrono,17,fold_04,test,3023,3024,3721,3722,4186,465,0.004904198157329898,0.36970851461536447,0.01890655735461344,0.34429257003854996,0.02541594457681451,1.0413795542157136,9.970976919449142e-05,-0.0011935434293345315,0.004952682688555088,1,0.1866666666666667,0.0,0.11162337851720185,0.18934660743148102,0.029487521723634447,0,696,0.9985652797704447,0.19206560312563178,0.03510534720145811,0,1,463,0.9978448275862069
chrono,17,fold_05,test,3488,3489,4186,4187,4651,465,0.01793121239985629,0.3847308307295898,0.016548154123783743,0.36218911530380193,0.022541715425787867,1.0259416141478312,0.00010094013287093828,-0.0021509935919963308,0.004438253269379855,1,0.2,0.0,0.13420579577942607,0.21872826271271584,0.0336881203558893,1,696,0.9985652797704447,0.16593075870038113,0.030075413291803067,0,1,463,0.9978448275862069
